Reference,Libelle,Famille,NB PALETTE,NB COLIS,Qte,Prix d'achat,Prix de vente,QteParColis,QteColisParPalette,Source
"CERAM DECOR ","3D STONE CREMA 30/90","CERAM DECOR",0,0,0,"1050","1149.9999",1.32,42,EXCEL_CONVERTED
"CERAM DECOR ","3D STONE GRIS 30/90","CERAM DECOR",1,41.99999999999999,55.44,"1050","1149.9999",1.32,42,EXCEL_CONVERTED
"CERAM DECOR ","3D STONE LIGHT 30/90","CERAM DECOR",0,0,0,"1050","1149.9999",1.32,42,EXCEL_CONVERTED
"CERAM DECOR ","3D WALL PANEL BEIGE 30/90","CERAM DECOR",4,168,268.8,"1000","1100",1.6,42,EXCEL_CONVERTED
"CERAM DECOR ","3D WALL PANEL BROWN 30/90","CERAM DECOR",0,0,0,"950","1049.99985",1.6,42,EXCEL_CONVERTED
"CERAM DECOR ","3D WALL PANEL CREMA 30/90","CERAM DECOR",0,0,0,"950","1049.99985",1.6,42,EXCEL_CONVERTED
"CERAM DECOR ","3D WALL PANEL DARK GRIS 30/90","CERAM DECOR",1,42,67.2,"950","1049.99985",1.6,42,EXCEL_CONVERTED
"CERAM DECOR ","3D WALL PANEL GRIS 30/90","CERAM DECOR",5,210,336,"1000","1100",1.6,42,EXCEL_CONVERTED
"CERAM DECOR ","3D WALL PANEL LIGHT 30/90","CERAM DECOR",1,42,67.2,"950","1049.99985",1.6,42,EXCEL_CONVERTED
"CERAM DECOR ","4D BEIGE 30/90","CERAM DECOR",0,0,0,"900","980.0001",1.6,42,EXCEL_CONVERTED
"CERAM DECOR ","4D BROWN 30/90","CERAM DECOR",9,378,604.8000000000001,"900","980.0001",1.6,42,EXCEL_CONVERTED
"CERAM DECOR ","4D CALACATA REC 60/60","CERAM DECOR",9,324,466.55999999999995,"920","979.99964",1.44,36,EXCEL_CONVERTED
"CERAM DECOR ","4D CALACATA REC 60/60 (2éme)","CERAM DECOR",0,0,0,"520","580.0002",1.44,36,EXCEL_CONVERTED
"CERAM DECOR ","4D GRIS 30/90","CERAM DECOR",0,0,0,"900","980.0001",1.6,42,EXCEL_CONVERTED
"CERAM DECOR ","4D WHITE 30/90","CERAM DECOR",0,0,0,"900","980.0001",1.6,42,EXCEL_CONVERTED
