Reference,Libelle,NB PALETTE,NB COLIS,Qte,Prix d'achat,Prix de vente,Source
GRUPOPUMA,PUMA BLANC,291.46,18653.15,18653.15,"399,84 DA","430,00 DA",EXCEL
NEW TECH ,BROOKLYNE GRIS 45/45,166,7968,11314.56,"660,00 DA","700,00 DA",EXCEL
TECHNO CERAM,VIVA PERLA REC 60/60,139.9,5036.25,7252.2,"950,00 DA","1?030,00 DA",EXCEL
TECHNO CERAM,GEO MARFIL REC 60/60,120.55,4339.72,6249.2,"950,00 DA","1?030,00 DA",EXCEL
TECHNO CERAM,TERRE NATUREL POLI REC 120/60,116.79,4087.5,8175,"1?200,00 DA","1?280,00 DA",EXCEL
TIMGAD CERAM,ACRA BEIGE 45/45,107.9,5179,7354.18,"700,00 DA","740,00 DA",EXCEL
TECHNO CERAM,IDEAL NATUREL POLI REC 90/90,102.75,4110,6658.2,"1?550,00 DA","1?650,00 DA",EXCEL
NEW TECH ,LOOK 45/45,100.4,4819,6842.98,"660,00 DA","690,00 DA",EXCEL
TECHNO CERAM,CALISTA CREMA REC 60/60,91,3276,4717.44,"950,00 DA","1?020,00 DA",EXCEL
NEW TECH ,SUNNY GRIS 45/45,86.71,4162,5910.04,"660,00 DA","690,00 DA",EXCEL
TIMGAD CERAM,TRAVERTIN GRIS 45/90,67,3752,4558.68,"1?050,00 DA","1?150,00 DA",EXCEL
TECHNO CERAM,RIMAS NATUREL POL REC 120/60,67,2345,4690,"1?200,00 DA","1?280,00 DA",EXCEL
TIMGAD CERAM,ELEGANT POLI REC 60/60,66,2376,3421.44,"1?400,00 DA","1?480,00 DA",EXCEL
TIMGAD CERAM,LAND GRIS REC 60/60,63.75,2295,3304.8,"920,00 DA","970,00 DA",EXCEL
TECHNO CERAM,CLARA GOLD POLI REC 120/60,61,2135,4270,"1?200,00 DA","1?280,00 DA",EXCEL
TECHNO CERAM,ARTICO BLANC POLI REC 60/60,58.39,2102,3026.88,"1?400,00 DA","1?480,00 DA",EXCEL
TIMGAD CERAM,ELEGANT POLI REC 120/60,58,2030,4060,"1?200,00 DA","1?300,00 DA",EXCEL
TECHNO CERAM,ROMA BLANC POLI REC 90/90,57.73,2309,3740.58,"1?550,00 DA","1?650,00 DA",EXCEL
