"Product ID","Code","Name","Quantity Fix","Pallets Fix","Colis Fix","Base Price Fix","Purchase Price Fix"
"3533","CERAM DECOR","3D STONE LIGHT 30/90","1 -> 0","0.02 -> 0","0.76 -> 0","1150 -> 1149.9999","1050 -> 1050"
"315","CERAM DECOR","4D CALACATA REC 60/60","2553.12 -> 2540.16","49.25 -> 49","1773 -> 1764","980 -> 979.99964","920 -> 920"
"6","TIMGAD CERAM","ACRA BEIGE 45/45","5910.04 -> 5861.759999999999","86.71 -> 86","4162 -> 4128","740 -> 740.0001","700 -> 700"
"2957","TIMGAD CERAM","ACRA BEIGE REC 60/60","8271.36 -> 7257.599999999999","159.56 -> 140","5744 -> 5040","1000 -> 1000.00044","920 -> 920"
"1712","TIMGAD CERAM","ACRA GRIS 25/75","8832 -> 2592","92 -> 27","5888 -> 1728","780 -> 780.0002","700 -> 700"
"1745","TIMGAD CERAM","ACRA GRIS 45/45","269.39 -> 0","3.95 -> 0","189.71 -> 0","740 -> 740.0001","700 -> 700"
"213","TIMGAD CERAM","ACRA GRIS 45/90","5250 -> 3402.0000000000005","77.16 -> 50","4320.99 -> 2800","1100 -> 1100","1000 -> 1000"
"3535","TIMGAD CERAM","ACRA GRIS 45/90 DECO","369.36 -> 369.36","5.43 -> 5.42857142857143","304 -> 304","1150 -> 1149.9999","1050 -> 1050"
"3093","TIMGAD CERAM","ACRA GRIS RELIEFE 25/75 (M²)","480 -> 384","5 -> 4","320 -> 256","880 -> 880","800 -> 800"
"206","TIMGAD CERAM","AGERA POLI REC 120/60","299.6 -> 280","4.28 -> 4","149.8 -> 140","1300 -> 1299.9996","1200 -> 1200"
"2490","TECHNO CERAM","ALASKA BLANC REC 60/60","1461.24 -> 1296","28.19 -> 25","1014.75 -> 900","1030 -> 1030.00045","950 -> 950"
"3221","NAF CERAM","ALASKA SILVER RELIEFE 25/75 (M²)","42 -> 27","0.58 -> 0.375","28 -> 18","850 -> 849.99996","760 -> 760"
"3878","GALA CERAM","ALCO BEIGE REC 60/60","3168 -> 1140.48","61.11 -> 22","2200 -> 792","980 -> 979.99964","920 -> 920"
"3875","GRAND CERAM","ALMERIA BEIGE 45/45","6595.5319 -> 1295.04","96.77 -> 19","4644.74 -> 912","0 -> 0","680 -> 0"
"3372","GRAND CERAM","ALMERIA BEIGE REC 60/60","101.88 -> 155.51999999999998","1.97 -> 3","70.75 -> 107.99999999999999","0 -> 0","920 -> 0"
"3373","GRAND CERAM","ALMERIA GRIS REC 60/60","0 -> 0","0 -> 0","0 -> 0","0 -> 0","920 -> 0"
"3143","TIMGAD CERAM","ALPE RELIEFE 45/90 (M²)","468.99 -> 468.99","6.89 -> 6.89285714285714","386 -> 386","1150 -> 1149.9999","1050 -> 1050"
"1660","TIMGAD CERAM","ANTALIA GRIS 25/75","3262.5 -> 3264","33.98 -> 34","2175 -> 2176","780 -> 780.0002","700 -> 700"
"1877","TIMGAD CERAM","ANTALIA WHITE 25/75","3547.5 -> 3552","36.95 -> 37","2365 -> 2368","780 -> 780.0002","700 -> 700"
"484","ELVA CERAM","ARCO BEIGE POLI REC 120/60","44.08 -> 0","0.63 -> 0","22.04 -> 0","1280 -> 1280.0004","1200 -> 1200"
"1434","TECHNO CERAM","ARIEL MARFIL REC 60/60","1286.64 -> 1296","24.82 -> 25","893.5 -> 900","1030 -> 1030.00045","950 -> 950"
"3539","TECHNO CERAM","ARIZONA PERLA 20/75","380.4 -> 307.2","4.95 -> 4","317 -> 256","1080 -> 1080","1000 -> 1000"
"48","TECHNO CERAM","ARSENAL BLANC 45/45","1990.56 -> 1510.08","29 -> 22","1392 -> 1056","850 -> 849.99975","750 -> 750"
"16","TECHNO CERAM","ARTICO BLANC POLI REC 60/60","2105.28 -> 2125.44","40.61 -> 41","1462 -> 1476","1480 -> 1480.0002","1400 -> 1400"
"59","TECHNO CERAM","ASCOT ROJO 20/75","0 -> 691.1999999999999","0 -> 9","0 -> 576","1080 -> 1080","1000 -> 1000"
"815","ELVA CERAM","ASTRA BLACK 120/60","70 -> 70","1 -> 1","35 -> 35","920 -> 920","1 -> 0"
"3545","ELVA CERAM","ATLANTA GOLD GRIS POLI REC 120/60","454 -> 420","6.49 -> 6","227 -> 210","1280 -> 1280.0004","1200 -> 1200"
"51","TIMGAD CERAM","ATLANTA POLI REC 60/60","829.44 -> 984.9599999999999","16 -> 19","576 -> 684","1480 -> 1480.0002","1400 -> 1400"
"2124","NEW TECH","ATLANTIC 60/60","9504 -> 3421.4399999999996","183.33 -> 66","6600 -> 2376","820 -> 820","780 -> 0"
"2964","ELVA CERAM","ATLANTIC GRIS REC 120/60","154 -> 70","2.2 -> 1","77 -> 35","1040 -> 1040.00002","940 -> 940"
"3548","TIMGAD CERAM","ATLANTIC POLI REC 120/60","909.28 -> 910","12.99 -> 13","454.64 -> 455","1300 -> 1300","1200 -> 1200"
"2564","TECHNO CERAM","ATLAS CREMA REC 60/60","3307.68 -> 3369.6","63.81 -> 65","2297 -> 2340","1030 -> 1030.00045","950 -> 950"
"3269","TECHNO CERAM","ATLAS CREMA REC 60/60 (2ÉME)","36 -> 51.839999999999996","0.69 -> 1","25 -> 36","580 -> 580","500 -> 500"
"331","TECHNO CERAM","ATLAS GRIS POLI REC 120/60","140 -> 0","2 -> 0","70 -> 0","1280 -> 1280.0004","1200 -> 1200"
"3549","TIMGAD CERAM","BARCELONA CREMA REC 60/60","2021.76 -> 1814.3999999999999","39 -> 35","1404 -> 1260","1000 -> 1000.00044","920 -> 920"
"1036","TECHNO CERAM","BARCELONA OCRE 20/75","7813.2 -> 7833.599999999999","101.73 -> 102","6511 -> 6528","1080 -> 1080","1000 -> 1000"
"3550","TIMGAD CERAM","BARCELONA PERLA REC 60/60","51.84 -> 0","1 -> 0","36 -> 0","1000 -> 1000.00044","920 -> 920"
"3378","TECHNO CERAM","BARI PERLA RELIEFE MIX 30/90","233.28 -> 233.28000000000003","3 -> 3","144 -> 144","0 -> 0","950 -> 0"
