Group #,Category/Family,Kept Product Name,Kept Product ID,Old Product Name,Old Product ID,Final Quantity,Qty Added from Old,Sales Reassigned,Purchases Reassigned
"1","TIMGAD CERAM","JULIA CREMA RELIEFE 30/90 (M²)","3057","JULIA CREMA RELIEFE 30/90 (Mý)","20","3167.1","0","0","0"
"2","TECHNO CERAM","IDEAL NATUREL POLI REC 90/90 (2éme)","3234","IDEAL NATUREL POLI REC 90/90 (2me)","101","1749.6","0","0","0"
"3","TIMGAD CERAM","EVA GRIS DARK 25/75","3571","EVA DARK GRIS 25/75","113","1920","864","2","0"
"4","TIMGAD CERAM","EVA GRIS LIGHT 25/75","3573","EVA LIGHT GRIS 25/75","117","1728","672","3","0"
"5","TECHNO CERAM","CANADA MARBRE POLI REC 150/75 (2éme)","3258","CANADA MARBRE POLI REC 150/75 (2me)","124","675","0","0","0"
"6","SANI DECOR","SIEGE SEPARE SMILE (2éme) (SD2-621-ECO)","3059","SIEGE SEPARE SMILE (2me) (SD2-621-ECO)","136","21","0","0","0"
"7","TECHNO CERAM","DENVER BLANC RELIEFE 30/90 (M²)","3080","DENVER BLANC RELIEFE 30/90 (Mý)","142","1477.44","0","0","0"
"8","TIMGAD CERAM","MARBELLA RELIEFE 30/90 (36C) (M²)","3096","MARBELLA RELIEFE 30/90 (36C) (Mý)","152","1150.2","0","0","0"
"9","TIMGAD CERAM","SYDNEY GRIS/LV 45/90","3659","SYDNEY GRIS 45/90 LV","187","8064","8064","1","3"
"10","TIMGAD CERAM","MOTIF MONZA 45/90 (M²)","3311","MOTIF MONZA 45/90 (Mý)","200","1292.76","0","0","0"
"11","TIMGAD CERAM","SYDNEY GRIS RELIEFE 45/90 (M²)","3136","SYDNEY GRIS RELIEFE 45/90 (Mý)","248","773.955","0","0","0"
"12","TIMGAD CERAM","MADRID RELIEFE 45/90 (M²)","3129","MADRID RELIEFE 45/90 (Mý)","285","767.88","0","0","0"
