Category/Family,Group Type,Product ID,Product Code,Product Name
"TECHNO CERAM","REC Duplicate","3701","009","FICHE:VICTORIA EXTRA 60/60"
"TECHNO CERAM","REC Duplicate","3842","FICHE:VICTORIA EXTRA REC 60/60","FICHE:VICTORIA EXTRA REC 60/60"
"TECHNO CERAM","REC Duplicate","2858","FICHE:MIRNA EXTRA SATINE 60/60","FICHE:MIRNA EXTRA SATINE 60/60"
"TECHNO CERAM","REC Duplicate","3782","FICHE:MIRNA EXTRA SATINE REC 60/60","FICHE:MIRNA EXTRA SATINE REC 60/60"
"TECHNO CERAM","REC Duplicate","1293","FICHE: STELLAR GOLD POLI REC 60/60","FICHE: STELLAR GOLD POLI REC 60/60"
"TECHNO CERAM","REC Duplicate","3827","FICHE:STELLAR GOLD POLI REC 60/60","FICHE:STELLAR GOLD POLI REC 60/60"
"TECHNO CERAM","REC Duplicate","3345","FICHE:VOLTA MARFIL 60/60","FICHE:VOLTA MARFIL 60/60"
"TECHNO CERAM","REC Duplicate","3846","FICHE:VOLTA MARFIL REC 60/60","FICHE:VOLTA MARFIL REC 60/60"
"TECHNO CERAM","REC Duplicate","2540","FICHE: CALISTA CREMA REC 60/60","FICHE: CALISTA CREMA REC 60/60"
"TECHNO CERAM","REC Duplicate","3739","FICHE:CALISTA CREMA REC 60/60","FICHE:CALISTA CREMA REC 60/60"
"TECHNO CERAM","REC Duplicate","3551","BARI PERLA 30/90","BARI PERLA 30/90"
"TECHNO CERAM","REC Duplicate","3357","BARI PERLA REC 30/90","BARI PERLA REC 30/90"
"TECHNO CERAM","REC Duplicate","3607","LUXOR NOIR POLI REC 120/60","LUXOR NOIR POLI REC 120/60"
"TECHNO CERAM","REC Duplicate","139","LUXOR NOIR POLI 120/60","LUXOR NOIR POLI 120/60"
"TECHNO CERAM","REC Duplicate","3609","MIRNA EXTRA SATINE REC 60/60","MIRNA EXTRA SATINE REC 60/60"
"TECHNO CERAM","REC Duplicate","2489","MIRNA EXTRA SATINE 60/60","MIRNA EXTRA SATINE 60/60"
"TECHNO CERAM","REC Duplicate","3510","FICHE: ARIZONA PERLA 20/75","FICHE: ARIZONA PERLA 20/75"
"TECHNO CERAM","REC Duplicate","1424","FICHE:ARIZONA PERLA REC 20/75","FICHE:ARIZONA PERLA REC 20/75"
"TECHNO CERAM","REC Duplicate","3509","FICHE:ARIZONA PERLA 20/75","FICHE:ARIZONA PERLA 20/75"
"TECHNO CERAM","REC Duplicate","3313","VOLTA MARFIL 60/60","VOLTA MARFIL 60/60"
"TECHNO CERAM","REC Duplicate","3676","VOLTA MARFIL REC 60/60","VOLTA MARFIL REC 60/60"
"TIMGAD CERAM","REC Duplicate","1180","ARIZONA PERLA REC 20/75","ARIZONA PERLA REC 20/75"
"TIMGAD CERAM","REC Duplicate","3539","ARIZONA PERLA 20/75","ARIZONA PERLA 20/75"
"TIMGAD CERAM","REC Duplicate","1684","FICHE: FLAT PERLA 60/60","FICHE: FLAT PERLA 60/60"
"TIMGAD CERAM","REC Duplicate","3759","FICHE:FLAT PERLA REC 60/60","FICHE:FLAT PERLA REC 60/60"
"TIMGAD CERAM","REC Duplicate","1714","FICHE: BARCELONA POLI 120/60","FICHE: BARCELONA POLI 120/60"
"TIMGAD CERAM","REC Duplicate","1554","FICHE:BARCELONA POLI REC 120/60","FICHE:BARCELONA POLI REC 120/60"
"TIMGAD CERAM","REC Duplicate","3548","ATLANTIC POLI REC 120/60","ATLANTIC POLI REC 120/60"
"TIMGAD CERAM","REC Duplicate","225","ATLANTIC POLI 120/60","ATLANTIC POLI 120/60"
"TIMGAD CERAM","REC Duplicate","3549","BARCELONA CREMA REC 60/60","BARCELONA CREMA REC 60/60"
"TIMGAD CERAM","REC Duplicate","3352","BARCELONA CREMA 60/60","BARCELONA CREMA 60/60"
"TIMGAD CERAM","REC Duplicate","3595","FLAT CREMA REC 60/60","FLAT CREMA REC 60/60"
"TIMGAD CERAM","REC Duplicate","33","FLAT CREMA 60/60","FLAT CREMA 60/60"
"TIMGAD CERAM","REC Duplicate","3596","FLAT PERLA REC 60/60","FLAT PERLA REC 60/60"
"TIMGAD CERAM","REC Duplicate","276","FLAT PERLA 60/60","FLAT PERLA 60/60"
"TIMGAD CERAM","REC Duplicate","3452","FICHE:BARCELONA PERLA 60/60","FICHE:BARCELONA PERLA 60/60"
"TIMGAD CERAM","REC Duplicate","3733","FICHE:BARCELONA PERLA REC 60/60","FICHE:BARCELONA PERLA REC 60/60"
"TIMGAD CERAM","REC Duplicate","1683","FICHE: DRAGON POLI 120/60","FICHE: DRAGON POLI 120/60"
"TIMGAD CERAM","REC Duplicate","3750","FICHE:DRAGON POLI REC 120/60","FICHE:DRAGON POLI REC 120/60"
"TIMGAD CERAM","REC Duplicate","3520","FICHE:SWEET BEIGE 60/60","FICHE:SWEET BEIGE 60/60"
"TIMGAD CERAM","REC Duplicate","3833","FICHE:SWEET BEIGE REC 60/60","FICHE:SWEET BEIGE REC 60/60"
"TIMGAD CERAM","REC Duplicate","1197","FICHE: IVORIA LIGHT 60/60","FICHE: IVORIA LIGHT 60/60"
"TIMGAD CERAM","REC Duplicate","3766","FICHE:IVORIA LIGHT REC 60/60","FICHE:IVORIA LIGHT REC 60/60"
"TIMGAD CERAM","REC Duplicate","1509","FICHE: ATLANTIC POLI 120/60","FICHE: ATLANTIC POLI 120/60"
"TIMGAD CERAM","REC Duplicate","3732","FICHE:ATLANTIC POLI REC 120/60","FICHE:ATLANTIC POLI REC 120/60"
"TIMGAD CERAM","REC Duplicate","1272","FICHE:FLAT CREMA 60/60","FICHE:FLAT CREMA 60/60"
"TIMGAD CERAM","REC Duplicate","3758","FICHE:FLAT CREMA REC 60/60","FICHE:FLAT CREMA REC 60/60"
"TIMGAD CERAM","REC Duplicate","1076","FICHE: COSMO CREMA POLI REC 120/60","FICHE: COSMO CREMA POLI REC 120/60"
"TIMGAD CERAM","REC Duplicate","3745","FICHE:COSMO CREMA POLI REC 120/60","FICHE:COSMO CREMA POLI REC 120/60"
"TIMGAD CERAM","REC Duplicate","227","CALMA 60/60","CALMA 60/60"
"TIMGAD CERAM","REC Duplicate","3556","CALMA REC 60/60","CALMA REC 60/60"
"TIMGAD CERAM","REC Duplicate","3354","WONDER POLI 45/90","WONDER POLI 45/90"
"TIMGAD CERAM","REC Duplicate","3678","WONDER POLI REC 45/90","WONDER POLI REC 45/90"
"TIMGAD CERAM","REC Duplicate","3500","SWEET BEIGE 60/60","SWEET BEIGE 60/60"
"TIMGAD CERAM","REC Duplicate","3654","SWEET BEIGE REC 60/60","SWEET BEIGE REC 60/60"
"GRAND CERAM","REC Duplicate","3521","FICHE:SUNNY CREMA 60/60","FICHE:SUNNY CREMA 60/60"
"GRAND CERAM","REC Duplicate","3831","FICHE:SUNNY CREMA REC 60/60","FICHE:SUNNY CREMA REC 60/60"
"GRAND CERAM","REC Duplicate","3580","FICHE: EXTRA BEIGE REC 60/60","FICHE: EXTRA BEIGE REC 60/60"
"GRAND CERAM","REC Duplicate","3756","FICHE:EXTRA BEIGE REC 60/60","FICHE:EXTRA BEIGE REC 60/60"
"GRAND CERAM","REC Duplicate","3581","FICHE: EXTRA GRIS REC 60/60","FICHE: EXTRA GRIS REC 60/60"
"GRAND CERAM","REC Duplicate","3757","FICHE:EXTRA GRIS REC 60/60","FICHE:EXTRA GRIS REC 60/60"
"GRAND CERAM","REC Duplicate","3503","SUNNY CREMA 60/60","SUNNY CREMA 60/60"
"GRAND CERAM","REC Duplicate","3652","SUNNY CREMA REC 60/60","SUNNY CREMA REC 60/60"
"GRAND CERAM","REC Duplicate","3589","FICHE:OPERA MATT 60/60","FICHE:OPERA MATT 60/60"
"GRAND CERAM","REC Duplicate","3791","FICHE:OPERA MATT REC 60/60","FICHE:OPERA MATT REC 60/60"
"GALA CERAM","REC Duplicate","293","CONCRETE GRIS 45/45","CONCRETE GRIS 45/45"
"GALA CERAM","REC Duplicate","3680","CONCRETE GRIS REC  45/45","CONCRETE GRIS REC  45/45"
"GALA CERAM","REC Duplicate","2373","CONCRETE WHITE 45/45","CONCRETE WHITE 45/45"
"GALA CERAM","REC Duplicate","3681","CONCRETE WHITE REC  45/45","CONCRETE WHITE REC  45/45"
"GALA CERAM","REC Duplicate","56","VIRGINIA BLANCO REC 60/60","VIRGINIA BLANCO REC 60/60"
"GALA CERAM","REC Duplicate","3456","VIRGINIA BLANCO 60/60","VIRGINIA BLANCO 60/60"
"GALA CERAM","REC Duplicate","3360","SKY PERLA 60/60","SKY PERLA 60/60"
"GALA CERAM","REC Duplicate","3648","SKY PERLA REC 60/60","SKY PERLA REC 60/60"
"GALA CERAM","REC Duplicate","222","SWITCH CREMA REC 45/45","SWITCH CREMA REC 45/45"
"GALA CERAM","REC Duplicate","3658","SWITCH CREMA 45/45","SWITCH CREMA 45/45"
"ELVA CERAM","REC Duplicate","3545","ATLANTA GOLD GRIS POLI REC 120/60","ATLANTA GOLD GRIS POLI REC 120/60"
"ELVA CERAM","REC Duplicate","364","ATLANTA GOLD GRIS POLI  120/60","ATLANTA GOLD GRIS POLI  120/60"
"ELVA CERAM","REC Duplicate","3547","ATLANTA GREEN GOLD POLI REC 120/60","ATLANTA GREEN GOLD POLI REC 120/60"
"ELVA CERAM","REC Duplicate","819","ATLANTA GREEN GOLD POLI 120/60","ATLANTA GREEN GOLD POLI 120/60"
"ELVA CERAM","REC Duplicate","1979","FICHE:MARBLE WHITE 60/60","FICHE:MARBLE WHITE 60/60"
"ELVA CERAM","REC Duplicate","2319","FICHE:MARBLE WHITE REC 60/60","FICHE:MARBLE WHITE REC 60/60"
"ELVA CERAM","REC Duplicate","1928","FICHE:MAGNUM BLACK POLI REC 120/60","FICHE:MAGNUM BLACK POLI REC 120/60"
"ELVA CERAM","REC Duplicate","2184","FICHE:MAGNUM BLACK POLI REC 120/60","FICHE:MAGNUM BLACK POLI REC 120/60"
"ELVA CERAM","REC Duplicate","2278","FICHE:NEO WHITE 60/60","FICHE:NEO WHITE 60/60"
"ELVA CERAM","REC Duplicate","3784","FICHE:NEO WHITE REC 60/60","FICHE:NEO WHITE REC 60/60"
"ELVA CERAM","REC Duplicate","1966","FICHE:CALACATTA EMPIRIAL 120/60","FICHE:CALACATTA EMPIRIAL 120/60"
"ELVA CERAM","REC Duplicate","3738","FICHE:CALACATTA EMPIRIAL REC 120/60","FICHE:CALACATTA EMPIRIAL REC 120/60"
"ELVA CERAM","REC Duplicate","2194","SWIFT GRIS REC  60/60","SWIFT GRIS REC  60/60"
"ELVA CERAM","REC Duplicate","3657","SWIFT GRIS REC 60/60","SWIFT GRIS REC 60/60"
"CERAM DECOR","REC Duplicate","3641","RIVANO GOLD REC 60/60","RIVANO GOLD REC 60/60"
"CERAM DECOR","REC Duplicate","256","RIVANO GOLD 60/60","RIVANO GOLD 60/60"
"CERAM DECOR","REC Duplicate","1496","FICHE:LEGEND GRIS 60/60","FICHE:LEGEND GRIS 60/60"
"CERAM DECOR","REC Duplicate","3773","FICHE:LEGEND GRIS REC 60/60","FICHE:LEGEND GRIS REC 60/60"
"CERAM DECOR","REC Duplicate","1615","FICHE:SAVANA WHITE 60/60","FICHE:SAVANA WHITE 60/60"
"CERAM DECOR","REC Duplicate","1175","FICHE:SAVANA WHITE REC 60/60","FICHE:SAVANA WHITE REC 60/60"
"CERAM DECOR","REC Duplicate","3477","FICHE:RIVANO GOLD 60/60","FICHE:RIVANO GOLD 60/60"
"CERAM DECOR","REC Duplicate","3805","FICHE:RIVANO GOLD REC 60/60","FICHE:RIVANO GOLD REC 60/60"
