Category/Family,Product Name (Kept),Kept Product ID,Old Product ID,Quantity
TECHNO CERAM,FICHE:VICTORIA EXTRA REC 60/60,3842,3701,9
TECHNO CERAM,FICHE:MIRNA EXTRA SATINE REC 60/60,3782,2858,1
TECHNO CERAM,FICHE:STELLAR GOLD POLI REC 60/60,3827,1293,0
TECHNO CERAM,FICHE:VOLTA MARFIL REC 60/60,3846,3345,0
TECHNO CERAM,FICHE:CALISTA CREMA REC 60/60,3739,2540,0
TECHNO CERAM,BARI PERLA 30/90,3551,3357,2021.76
TECHNO CERAM,LUXOR NOIR POLI REC 120/60,3607,139,70
TECHNO CERAM,MIRNA EXTRA SATINE REC 60/60,3609,2489,1710.72
TECHNO CERAM,FICHE: ARIZONA PERLA 20/75,3510,3509,0
TECHNO CERAM,FICHE: ARIZONA PERLA 20/75,3510,1424,0
TECHNO CERAM,VOLTA MARFIL REC 60/60,3676,3313,259.2
TIMGAD CERAM,ARIZONA PERLA 20/75,3539,1180,384
TIMGAD CERAM,FICHE:FLAT PERLA REC 60/60,3759,1684,1
TIMGAD CERAM,FICHE: BARCELONA POLI 120/60,1714,1554,10
TIMGAD CERAM,ATLANTIC POLI REC 120/60,3548,225,910
TIMGAD CERAM,BARCELONA CREMA REC 60/60,3549,3352,2021.76
TIMGAD CERAM,FLAT CREMA REC 60/60,3595,33,2384.64
TIMGAD CERAM,FLAT PERLA REC 60/60,3596,276,2488.32
TIMGAD CERAM,FICHE:BARCELONA PERLA REC 60/60,3733,3452,1
TIMGAD CERAM,FICHE:DRAGON POLI REC 120/60,3750,1683,0
TIMGAD CERAM,FICHE:SWEET BEIGE REC 60/60,3833,3520,4
TIMGAD CERAM,FICHE:IVORIA LIGHT REC 60/60,3766,1197,2
TIMGAD CERAM,FICHE:ATLANTIC POLI REC 120/60,3732,1509,9
TIMGAD CERAM,FICHE:FLAT CREMA REC 60/60,3758,1272,9
TIMGAD CERAM,FICHE:COSMO CREMA POLI REC 120/60,3745,1076,0
TIMGAD CERAM,CALMA REC 60/60,3556,227,0
TIMGAD CERAM,WONDER POLI REC 45/90,3678,3354,1905.12
TIMGAD CERAM,SWEET BEIGE REC 60/60,3654,3500,2073.6
GRAND CERAM,FICHE:SUNNY CREMA REC 60/60,3831,3521,1
GRAND CERAM,FICHE:EXTRA BEIGE REC 60/60,3756,3580,0
GRAND CERAM,FICHE:EXTRA GRIS REC 60/60,3757,3581,0
GRAND CERAM,SUNNY CREMA REC 60/60,3652,3503,1036.8
GRAND CERAM,FICHE:OPERA MATT REC 60/60,3791,3589,4
GALA CERAM,CONCRETE GRIS REC  45/45,3680,293,1492.42
GALA CERAM,CONCRETE WHITE REC  45/45,3681,2373,0
GALA CERAM,VIRGINIA BLANCO 60/60,3456,56,0
GALA CERAM,SKY PERLA REC 60/60,3648,3360,1140.48
GALA CERAM,SWITCH CREMA 45/45,3658,222,534.6816
ELVA CERAM,ATLANTA GOLD GRIS POLI REC 120/60,3545,364,490
ELVA CERAM,ATLANTA GREEN GOLD POLI REC 120/60,3547,819,0
ELVA CERAM,FICHE:MARBLE WHITE REC 60/60,2319,1979,2
ELVA CERAM,FICHE:MAGNUM BLACK POLI REC 120/60,2184,1928,2
ELVA CERAM,FICHE:NEO WHITE REC 60/60,3784,2278,0
ELVA CERAM,FICHE:CALACATTA EMPIRIAL REC 120/60,3738,1966,1
ELVA CERAM,SWIFT GRIS REC 60/60,3657,2194,0
CERAM DECOR,RIVANO GOLD REC 60/60,3641,256,0
CERAM DECOR,FICHE:LEGEND GRIS REC 60/60,3773,1496,0
CERAM DECOR,FICHE:SAVANA WHITE 60/60,1615,1175,4
CERAM DECOR,FICHE:RIVANO GOLD REC 60/60,3805,3477,3
CERAM DECOR,FICHE:VENICE GOLD REC 60/60,3839,1440,3
CERAM DECOR,SOFT BEIGE REC 60/60,3649,3361,1140.48
CERAM DECOR,FICHE:SOFT BEIGE REC 60/60,3826,3712,1
CERAM DECOR,VENICE GOLD REC 60/60,3672,1748,1036.8
CERAM DECOR,VERONA WHITE REC 60/60,3674,3504,881.28
TIMGAD CERAM,FICHE:MALAGA TAUPE 45/45,3777,1048,5
TIMGAD CERAM,FICHE:EUROPA GLOSSY 45/90,3754,1829,3
TIMGAD CERAM,MOTIF MADRID GEO 45/90,3862,991,0
TIMGAD CERAM,MOTIF SWEET/NOBLE GRIS 45/90,3865,3610,405
TIMGAD CERAM,MALTA GRIS 45/45,3608,282,3476.16
TIMGAD CERAM,FICHE:SERIE LV 45/90,3815,1890,6
TIMGAD CERAM,FICHE:CATANIA BLANCO 45/45,3743,1893,3
TIMGAD CERAM,FICHE:ACRA GRIS 45/90,3721,1635,0
NEW TECH,FICHE:CHIC 45/45,3744,3527,1
TECHNO CERAM,FICHE:ROMA BLANC BRILLANT 45/90,3809,2862,1
GALA CERAM,FICHE:OLYMPIA 45/90,3787,2385,2
CERAM DECOR,3D WALL PANEL CREMA 30/90,3534,2942,0
CERAM DECOR,FICHE:TORINO WHITE 45/90,3835,3582,5
CERAM DECOR,FICHE:SERIE TRAVERTO 30/60,3819,1891,0
NAF CERAM,FICHE:MADRID SILVER 25/75,3776,2028,2
NAF CERAM,FICHE:ONYX GRIS 25/75,3790,1968,1
NAF CERAM,FICHE:MADRID GOLD 25/75,3775,2022,2
