Group #,Category/Family,Product ID,Product Name,Current Qty,Sales Orders,Last Sale Date,Total Qty Sold,Order Types,Purchase Orders,Last PO Date,Total Qty Purchased,Has Activity
"1","TIMGAD CERAM","20","JULIA CREMA RELIEFE 30/90 (Mý)","0","0","","0","","0","","0","NO"
"1","TIMGAD CERAM","3057","JULIA CREMA RELIEFE 30/90 (M²)","3167.1","0","","0","","0","","0","YES"
"2","TECHNO CERAM","101","IDEAL NATUREL POLI REC 90/90 (2me)","0","0","","0","","0","","0","NO"
"2","TECHNO CERAM","3234","IDEAL NATUREL POLI REC 90/90 (2éme)","1749.6","0","","0","","0","","0","YES"
"3","TIMGAD CERAM","113","EVA DARK GRIS 25/75","864","2","Wed Feb 25 2026 00:00:00 GMT+0100 (Central European Standard Time)","192","WHOLESALE","0","","0","YES"
"3","TIMGAD CERAM","3571","EVA GRIS DARK 25/75","1056","0","","0","","0","","0","YES"
"4","TIMGAD CERAM","117","EVA LIGHT GRIS 25/75","672","3","Sun Mar 01 2026 00:00:00 GMT+0100 (Central European Standard Time)","288","WHOLESALE","0","","0","YES"
"4","TIMGAD CERAM","3573","EVA GRIS LIGHT 25/75","1056","0","","0","","0","","0","YES"
"5","TECHNO CERAM","124","CANADA MARBRE POLI REC 150/75 (2me)","0","0","","0","","0","","0","NO"
"5","TECHNO CERAM","3258","CANADA MARBRE POLI REC 150/75 (2éme)","675","0","","0","","0","","0","YES"
"6","SANI DECOR","136","SIEGE SEPARE SMILE (2me) (SD2-621-ECO)","0","0","","0","","0","","0","NO"
"6","SANI DECOR","3059","SIEGE SEPARE SMILE (2éme) (SD2-621-ECO)","21","0","","0","","0","","0","YES"
"7","TECHNO CERAM","142","DENVER BLANC RELIEFE 30/90 (Mý)","0","0","","0","","0","","0","NO"
"7","TECHNO CERAM","3080","DENVER BLANC RELIEFE 30/90 (M²)","1477.44","0","","0","","0","","0","YES"
"8","TIMGAD CERAM","152","MARBELLA RELIEFE 30/90 (36C) (Mý)","0","0","","0","","0","","0","NO"
"8","TIMGAD CERAM","3096","MARBELLA RELIEFE 30/90 (36C) (M²)","1150.2","0","","0","","0","","0","YES"
"9","TIMGAD CERAM","187","SYDNEY GRIS 45/90 LV","8064","1","Sat Dec 27 2025 00:00:00 GMT+0100 (Central European Standard Time)","336","WHOLESALE","3","Sun Mar 01 2026 00:00:00 GMT+0100 (Central European Standard Time)","3265.92","YES"
"9","TIMGAD CERAM","3659","SYDNEY GRIS/LV 45/90","0","0","","0","","0","","0","NO"
"10","TIMGAD CERAM","200","MOTIF MONZA 45/90 (Mý)","0","0","","0","","0","","0","NO"
"10","TIMGAD CERAM","3311","MOTIF MONZA 45/90 (M²)","1292.76","1","Wed Feb 25 2026 00:00:00 GMT+0100 (Central European Standard Time)","6.075","RETAIL","0","","0","YES"
"11","TIMGAD CERAM","248","SYDNEY GRIS RELIEFE 45/90 (Mý)","0","0","","0","","0","","0","NO"
"11","TIMGAD CERAM","3136","SYDNEY GRIS RELIEFE 45/90 (M²)","773.955","0","","0","","0","","0","YES"
"12","TIMGAD CERAM","285","MADRID RELIEFE 45/90 (Mý)","0","0","","0","","0","","0","NO"
"12","TIMGAD CERAM","3129","MADRID RELIEFE 45/90 (M²)","767.88","0","","0","","0","","0","YES"
"13","TIMGAD CERAM","287","SAMARA RELIEFE 45/90 (Mý)","0","0","","0","","0","","0","NO"
"13","TIMGAD CERAM","3054","SAMARA RELIEFE 45/90 (M²)","798.255","0","","0","","0","","0","YES"
"14","TECHNO CERAM","291","ENERGIE REC 120/60 (2me)","0","0","","0","","0","","0","NO"
"14","TECHNO CERAM","3292","ENERGIE REC 120/60 (2éme)","128.48","6","Sun Mar 01 2026 00:00:00 GMT+0100 (Central European Standard Time)","163","RETAIL, WHOLESALE","0","","0","YES"
"15","TECHNO CERAM","301","AVION CREMA RELIEFE 30/90 (Mý)","0","0","","0","","0","","0","NO"
"15","TECHNO CERAM","3071","AVION CREMA RELIEFE 30/90 (M²)","855.36","1","Sun Feb 22 2026 00:00:00 GMT+0100 (Central European Standard Time)","17.82","RETAIL","0","","0","YES"
"16","TIMGAD CERAM","303","EVA DARK GRIS 45/45","712.84","0","","0","","0","","0","YES"
"16","TIMGAD CERAM","3572","EVA GRIS DARK 45/45","681.6","0","","0","","0","","0","YES"
"17","TIMGAD CERAM","314","STYLE RELIEFE 25/75 (Mý)","0","0","","0","","0","","0","NO"
"17","TIMGAD CERAM","3083","STYLE RELIEFE 25/75 (M²)","904.5","0","","0","","0","","0","YES"
"18","NAF CERAM","316","MALAGA GOLD RELIEFE 25/75 (Mý)","0","0","","0","","0","","0","NO"
"18","NAF CERAM","3263","MALAGA GOLD RELIEFE 25/75 (M²)","0","0","","0","","0","","0","NO"
"19","TECHNO CERAM","333","FIRST PERLA RELIEFE 30/90 (Mý)","0","0","","0","","0","","0","NO"
"19","TECHNO CERAM","3074","FIRST PERLA RELIEFE 30/90 (M²)","388.8","0","","0","","0","","0","YES"
"20","TECHNO CERAM","360","DENVER GRAFITO RELIEFE 25/75 (Mý)","0","0","","0","","0","","0","NO"
"20","TECHNO CERAM","3050","DENVER GRAFITO RELIEFE 25/75 (M²)","754.56","0","","0","","0","","0","YES"
"21","TECHNO CERAM","375","ROCKWELL TOFFEE RELIEFE 30/90 (Mý)","0","0","","0","","0","","0","NO"
"21","TECHNO CERAM","3105","ROCKWELL TOFFEE RELIEFE 30/90 (M²)","466.56","0","","0","","0","","0","YES"
"22","SAM CERAM","376","PALMYRE NOIR 45/45 (2me)","0","0","","0","","0","","0","NO"
"22","SAM CERAM","3069","PALMYRE NOIR 45/45 (2éme)","460.08","1","Tue Feb 24 2026 00:00:00 GMT+0100 (Central European Standard Time)","17.04","RETAIL","0","","0","YES"
"23","TECHNO CERAM","403","TERRE PERLA POLI REC 150/75 (2me)","0","0","","0","","0","","0","NO"
