Group #,Family,Kept ID,Kept Name,Kept Orig Qty,Old ID,Old Name,Old Orig Qty,Old Sales Qty,Old Purchase Qty,Prev Wrongly Added,Correction Applied,Final Qty
"1","TIMGAD CERAM","3057","JULIA CREMA RELIEFE 30/90 (M²)","3167.1","20","JULIA CREMA RELIEFE 30/90 (Mý)","0","0","0","0","0","3167.1"
"2","TECHNO CERAM","3234","IDEAL NATUREL POLI REC 90/90 (2éme)","1749.6","101","IDEAL NATUREL POLI REC 90/90 (2me)","0","0","0","0","0","1749.6"
"3","TIMGAD CERAM","3571","EVA GRIS DARK 25/75","1056","113","EVA DARK GRIS 25/75","864","192","0","864","-1056","864"
"4","TIMGAD CERAM","3573","EVA GRIS LIGHT 25/75","1056","117","EVA LIGHT GRIS 25/75","672","288","0","672","-960","768"
"5","TECHNO CERAM","3258","CANADA MARBRE POLI REC 150/75 (2éme)","675","124","CANADA MARBRE POLI REC 150/75 (2me)","0","0","0","0","0","675"
"6","SANI DECOR","3059","SIEGE SEPARE SMILE (2éme) (SD2-621-ECO)","21","136","SIEGE SEPARE SMILE (2me) (SD2-621-ECO)","0","0","0","0","0","21"
"7","TECHNO CERAM","3080","DENVER BLANC RELIEFE 30/90 (M²)","1477.44","142","DENVER BLANC RELIEFE 30/90 (Mý)","0","0","0","0","0","1477.44"
"8","TIMGAD CERAM","3096","MARBELLA RELIEFE 30/90 (36C) (M²)","1150.2","152","MARBELLA RELIEFE 30/90 (36C) (Mý)","0","0","0","0","0","1150.2"
"9","TIMGAD CERAM","3659","SYDNEY GRIS/LV 45/90","0","187","SYDNEY GRIS 45/90 LV","8064","336","3265.92","8064","-5134.08","2929.92"
"10","TIMGAD CERAM","3311","MOTIF MONZA 45/90 (M²)","1292.76","200","MOTIF MONZA 45/90 (Mý)","0","0","0","0","0","1292.76"
"11","TIMGAD CERAM","3136","SYDNEY GRIS RELIEFE 45/90 (M²)","773.955","248","SYDNEY GRIS RELIEFE 45/90 (Mý)","0","0","0","0","0","773.955"
"12","TIMGAD CERAM","3129","MADRID RELIEFE 45/90 (M²)","767.88","285","MADRID RELIEFE 45/90 (Mý)","0","0","0","0","0","767.88"
"13","TIMGAD CERAM","3054","SAMARA RELIEFE 45/90 (M²)","798.255","287","SAMARA RELIEFE 45/90 (Mý)","0","0","0","0","0","798.255"
"14","TECHNO CERAM","3292","ENERGIE REC 120/60 (2éme)","128.48","291","ENERGIE REC 120/60 (2me)","0","0","0","0","0","128.48"
"15","TECHNO CERAM","3071","AVION CREMA RELIEFE 30/90 (M²)","855.36","301","AVION CREMA RELIEFE 30/90 (Mý)","0","0","0","0","0","855.36"
"16","TIMGAD CERAM","3572","EVA GRIS DARK 45/45","681.6","303","EVA DARK GRIS 45/45","712.84","0","0","712.84","-712.84","681.6"
"17","TIMGAD CERAM","3083","STYLE RELIEFE 25/75 (M²)","904.5","314","STYLE RELIEFE 25/75 (Mý)","0","0","0","0","0","904.5"
"18","NAF CERAM","3263","MALAGA GOLD RELIEFE 25/75 (M²)","0","316","MALAGA GOLD RELIEFE 25/75 (Mý)","0","0","0","0","0","0"
"19","TECHNO CERAM","3074","FIRST PERLA RELIEFE 30/90 (M²)","388.8","333","FIRST PERLA RELIEFE 30/90 (Mý)","0","0","0","0","0","388.8"
"20","TECHNO CERAM","3050","DENVER GRAFITO RELIEFE 25/75 (M²)","754.56","360","DENVER GRAFITO RELIEFE 25/75 (Mý)","0","0","0","0","0","754.56"
"21","TECHNO CERAM","3105","ROCKWELL TOFFEE RELIEFE 30/90 (M²)","466.56","375","ROCKWELL TOFFEE RELIEFE 30/90 (Mý)","0","0","0","0","0","466.56"
"22","SAM CERAM","3069","PALMYRE NOIR 45/45 (2éme)","460.08","376","PALMYRE NOIR 45/45 (2me)","0","0","0","0","0","460.08"
"23","TECHNO CERAM","3302","TERRE PERLA POLI REC 150/75 (2éme)","472.5","403","TERRE PERLA POLI REC 150/75 (2me)","0","0","0","0","0","472.5"
"24","TIMGAD CERAM","3143","ALPE RELIEFE 45/90 (M²)","468.99","411","ALPE RELIEFE 45/90 (Mý)","0","0","0","0","0","468.99"
"25","TECHNO CERAM","3130","FORMULA MARFIL RELIEFE 45/90 (M²)","232.32","422","FORMULA MARFIL RELIEFE 45/90 (Mý)","0","0","0","0","0","232.32"
"26","TECHNO CERAM","3260","CALACATA RELIEFE 45/90 (48C) (M²)","233.28","424","CALACATA RELIEFE 45/90 (48C) (Mý)","0","0","0","0","0","233.28"
"27","TECHNO CERAM","3304","VENICIA GOLD RELIEFE 45/90 (M²)","58.32","437","VENICIA GOLD RELIEFE 45/90 (Mý)","0","0","0","0","0","58.32"
"28","TECHNO CERAM","3064","VERONA MARFIL RELIEFE 45/90 (M²)","392.04","439","VERONA MARFIL RELIEFE 45/90 (Mý)","0","0","0","0","0","392.04"
"29","TIMGAD CERAM","3097","HAWAI PERLA RELIEFE 30/90 (M²)","392.04","456","HAWAI PERLA RELIEFE 30/90 (Mý)","0","0","0","0","0","392.04"
"30","TIMGAD CERAM","3131","SYDNEY BEIGE RELIEFE 45/90 (M²)","250.29","459","SYDNEY BEIGE RELIEFE 45/90 (Mý)","0","0","0","0","0","250.29"
"31","TECHNO CERAM","3075","CELINE MARFIL RELIEFE 30/90 (M²)","383.94","466","CELINE MARFIL RELIEFE 30/90 (Mý)","0","0","0","0","0","383.94"
"32","TECHNO CERAM","3173","ROCKWELL TOFFEE 30/90 (2éme)","0","467","ROCKWELL TOFFEE 30/90 (2me)","0","0","0","0","0","0"
